origin_date,horizon_days,target_date,calendar_block_6m,es_arm_a_rc1,es_arm_b_equal,es_arm_c_precision,es_sens_c25,rel_es_improvement_precision,rel_es_improvement_equal,crps_arm_a_rc1,crps_arm_b_equal,crps_arm_c_precision,crps_sens_c25,rel_crps_improvement_precision,crps_rest_rc1,crps_rest_precision,n_eff_rc1,n_eff_precision
2025-12-03,28,2025-12-31,2025_H2,0.5357565029741591,0.5378364922648591,0.5355519067245627,0.5356274676412534,0.00038188290475369953,-0.00388234072597023,0.14293574639486342,0.14342094663806704,0.14288783167629182,0.14290554853352225,0.00033521858443468416,0.19445016997930514,0.19438680143452702,6.081156632230687,6.098547652531431
2025-12-03,56,2026-01-28,2025_H2,0.9307359367314967,0.932060549294534,0.9306057689664724,0.9306538395549149,0.00013985466756703943,-0.0014231883725141013,0.28162202555488347,0.28176186194013386,0.28160924917098734,0.28161391863716695,4.536713302503864e-05,0.13898701420661452,0.13883106652390587,6.081156632230687,6.098547652531431
2025-12-03,84,2026-02-25,2025_H2,1.3934993041342398,1.3940483693615207,1.393445558105777,1.3934654019689297,3.856911037085588e-05,-0.0003940190179154388,0.39462269822689666,0.39470962840917384,0.3946142373364029,0.3946173746500874,2.1440455736058478e-05,0.14689715383860164,0.14673558412171417,6.081156632230687,6.098547652531431
2025-12-03,112,2026-03-25,2025_H2,1.9734895874498748,1.9732245980055962,1.9735160460701135,1.9735062661900429,-1.3407022974438802e-05,0.00013427455911787636,0.5468156982840453,0.546811606657791,0.5468169143010599,0.5468164768018784,-2.2238151144050776e-06,0.1539778305969653,0.15384419811769212,6.081156632230687,6.098547652531431
2025-12-10,7,2025-12-17,2025_H2,0.31689070929228624,0.3206943916830305,0.31651448032231244,0.31665347230865104,0.0011872515000961568,-0.012003136347035955,0.07663308730256327,0.07755742024464538,0.0765416592198302,0.07657543623632404,0.001193062761155608,0.12198231818654925,0.12183405128071373,6.081156632230687,6.098547652531431
2025-12-10,14,2025-12-24,2025_H2,0.36770079168489567,0.37104213351221216,0.36737070295177665,0.3674926404752492,0.0008977101507083195,-0.009087121656729752,0.08718605014631338,0.08800998819743243,0.08710460124630481,0.08713470123571695,0.0009341964668875363,0.1568359897106466,0.15671012485630953,6.081156632230687,6.098547652531431
2025-12-10,28,2026-01-07,2025_H2,0.5207771486900288,0.5226929234942255,0.5205889154765642,0.5206584287674851,0.0003614467607461307,-0.0036786844603601777,0.12554006333778736,0.12604959776696395,0.12548994146105608,0.12550847395051498,0.0003992500513276257,0.2307522016929811,0.23072458866514034,6.081156632230687,6.098547652531431
2025-12-10,56,2026-02-04,2025_H2,0.8805752157571283,0.8819369485259021,0.8804415916530548,0.8804909345941276,0.00015174638313954753,-0.0015464127815623268,0.25378654322078675,0.2539907529342508,0.2537663667842568,0.25377383444371715,7.950160112472474e-05,0.161904288393538,0.1617782349494779,6.081156632230687,6.098547652531431
2025-12-10,84,2026-03-04,2025_H2,1.408907072833736,1.409281252897125,1.4088706050654132,1.4088840661799291,2.588372861919284e-05,-0.0002655817907396645,0.3904595687706285,0.39055407617834464,0.39044987665747466,0.39045346959794136,2.4822322025148694e-05,0.16516250987564357,0.16505640765846114,6.081156632230687,6.098547652531431
2025-12-10,112,2026-04-01,2025_H2,2.0955442996534273,2.0953056917423467,2.095568052316308,2.095559274169527,-1.1334841685045795e-05,0.00011386440798221657,0.5935320262606149,0.5935108106543584,0.5935340143674661,0.5935332927640339,-3.3496201776741627e-06,0.1493972685542692,0.1492643096059001,6.081156632230687,6.098547652531431
