seed,election_year,horizon_days,as_of,party,actual_seats,point_baseline_seats,mean_seats,median_seats,point_error,mean_error,median_error,crps,percentile,cov_50,width_50,cov_80,width_80,cov_90,width_90,p_largest,p_qualify,p_any_seats
24680,2018,112,2018-05-20,C,31,35,35.72,35,4,4.72,4,2.7161,17.7,False,7,True,13,True,18,0.0,1.0,1.0
24680,2018,112,2018-05-20,KD,22,0,0.18,0,22,21.82,22,21.6374,100.0,False,0,False,0,False,0,0.0,0.012,0.012
24680,2018,112,2018-05-20,S,100,95,97.67,98,5,2.33,2,1.7988,64.4,True,9,True,16,True,21,0.7974,1.0,1.0
24680,2018,112,2018-05-20,V,28,32,32.4,33,4,4.4,5,2.8268,15.5,False,5,True,10,True,12,0.0,1.0,1.0
24680,2018,112,2018-05-20,MP,16,16,10.38,16,0,5.62,0,3.3148,50.5,True,18,True,20,True,21,0.0,0.575,0.575
24680,2018,112,2018-05-20,SD,62,74,75.61,75,12,13.61,13,9.1564,4.7,False,11,False,22,True,28,0.0332,1.0,1.0
24680,2018,84,2018-06-17,M,70,76,78.0,79,6,8.0,9,5.0063,23.4,False,14,True,28,True,36,0.0928,1.0,1.0
24680,2018,84,2018-06-17,L,20,18,15.92,18,2,4.08,2,1.6247,68.0,True,5,True,23,True,24,0.0,0.8248,0.8248
24680,2018,84,2018-06-17,C,31,35,35.5,35,4,4.5,4,2.7058,13.8,False,5,True,11,True,16,0.0,1.0,1.0
24680,2018,84,2018-06-17,KD,22,0,0.07,0,22,21.93,22,21.8559,100.0,False,0,False,0,False,0,0.0,0.0048,0.0048
24680,2018,84,2018-06-17,S,100,93,94.69,95,7,5.31,5,3.1899,81.7,False,8,True,15,True,19,0.847,1.0,1.0
24680,2018,84,2018-06-17,V,28,34,34.77,35,6,6.77,7,4.845,3.2,False,5,False,9,False,11,0.0,1.0,1.0
24680,2018,84,2018-06-17,MP,16,16,11.81,17,0,4.19,1,2.544,44.8,True,19,True,20,True,21,0.0,0.6492,0.6492
24680,2018,84,2018-06-17,SD,62,77,78.23,77,15,16.23,15,11.8574,0.6,False,11,False,19,False,25,0.0602,1.0,1.0
24680,2018,56,2018-07-15,M,70,72,73.04,74,2,3.04,4,2.7875,33.8,True,12,True,24,True,29,0.0264,1.0,1.0
24680,2018,56,2018-07-15,L,20,19,18.56,19,1,1.44,1,0.9747,60.5,True,5,True,9,True,25,0.0,0.9404,0.9404
24680,2018,56,2018-07-15,C,31,35,35.15,35,4,4.15,4,2.538,12.3,False,4,True,9,True,12,0.0,1.0,1.0
24680,2018,56,2018-07-15,KD,22,0,0.69,0,22,21.31,22,20.6544,100.0,False,0,False,0,False,0,0.0,0.0456,0.0456
24680,2018,56,2018-07-15,S,100,93,92.91,93,7,7.09,7,4.5857,90.1,False,8,True,14,True,17,0.9342,1.0,1.0
24680,2018,56,2018-07-15,V,28,35,35.48,36,7,7.48,8,5.5982,1.4,False,5,False,8,False,10,0.0,1.0,1.0
24680,2018,56,2018-07-15,MP,16,18,16.13,19,2,0.13,3,1.7383,26.9,True,5,True,22,True,23,0.0,0.8446,0.8446
24680,2018,56,2018-07-15,SD,62,77,77.04,76,15,15.04,14,11.4162,0.2,False,8,False,17,False,22,0.0394,1.0,1.0
24680,2018,28,2018-08-12,M,70,68,68.57,70,2,1.43,0,1.453,51.1,True,9,True,17,True,21,0.0,1.0,1.0
24680,2018,28,2018-08-12,L,20,20,20.38,20,0,0.38,0,0.8226,53.9,True,5,True,8,True,10,0.0,0.9986,0.9986
24680,2018,28,2018-08-12,C,31,33,33.87,34,2,2.87,3,1.6317,19.5,False,4,True,8,True,10,0.0,1.0,1.0
24680,2018,28,2018-08-12,KD,22,15,9.51,15,7,12.49,7,8.5261,100.0,False,16,False,17,False,17,0.0,0.6038,0.6038
24680,2018,28,2018-08-12,S,100,90,91.73,90,10,8.27,10,5.7303,90.6,False,7,True,14,True,16,0.9998,1.0,1.0
24680,2018,28,2018-08-12,V,28,34,34.21,34,6,6.21,6,4.6109,0.9,False,4,False,8,False,9,0.0,1.0,1.0
