model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,187,M+L+KD+S+V+SD,1.0,1,302,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,188,C+KD+S+V+SD,1.0,1,221,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,189,M+C+KD+S+V+SD,1.0,1,305,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,190,L+C+KD+S+V+SD,1.0,1,240,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,191,M+L+C+KD+S+V+SD,1.0,1,324,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,192,MP+SD,0.0,0,74,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,193,M+MP+SD,0.0,0,158,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,194,L+MP+SD,0.0,0,93,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,195,M+L+MP+SD,0.0,1,177,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,196,C+MP+SD,0.0,0,96,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,197,M+C+MP+SD,0.33855,1,180,0.4375161025
CONTROL_pp_centered_noise,tier3_iso,2014,12345,198,L+C+MP+SD,0.0,0,115,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,199,M+L+C+MP+SD,1.0,1,199,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,200,KD+MP+SD,0.0,0,90,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,201,M+KD+MP+SD,0.0,0,174,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,202,L+KD+MP+SD,0.0,0,109,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,203,M+L+KD+MP+SD,1.0,1,193,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,204,C+KD+MP+SD,0.0,0,112,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,205,M+C+KD+MP+SD,1.0,1,196,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,206,L+C+KD+MP+SD,0.0,0,131,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,207,M+L+C+KD+MP+SD,1.0,1,215,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,208,S+MP+SD,0.67015,1,187,0.10880102249999998
CONTROL_pp_centered_noise,tier3_iso,2014,12345,209,M+S+MP+SD,1.0,1,271,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,210,L+S+MP+SD,1.0,1,206,0.0
