wave,survey_date,period,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2016M05,2016-05-01,2016-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,s,S,S,parliamentary_party,28.1,1.1,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,v,V,V,parliamentary_party,6.6,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,övr,övriga,OTHER,other_party,2.2,0.4,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,SD,SD,SD,parliamentary_party,17.6,0.9,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,c,C,C,parliamentary_party,7.3,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,kd,KD,KD,parliamentary_party,3.2,0.4,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,l,L,L,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,m,M,M,parliamentary_party,23.6,1.0,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,mp,MP,MP,parliamentary_party,5.0,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,s,S,S,parliamentary_party,28.4,1.0,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,v,V,V,parliamentary_party,7.0,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M11,2016-11-01,2016-11,övr,övriga,OTHER,other_party,3.1,0.5,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,SD,SD,SD,parliamentary_party,17.9,1.0,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,c,C,C,parliamentary_party,11.7,0.8,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,kd,KD,KD,parliamentary_party,3.3,0.5,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,l,L,L,parliamentary_party,5.0,0.6,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,m,M,M,parliamentary_party,18.5,1.0,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,mp,MP,MP,parliamentary_party,4.5,0.6,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,s,S,S,parliamentary_party,30.2,1.1,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,v,V,V,parliamentary_party,6.4,0.6,observed,ME/ME0201/ME0201A/Vid10
2017M05,2017-05-01,2017-05,övr,övriga,OTHER,other_party,2.4,0.4,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,SD,SD,SD,parliamentary_party,15.2,0.9,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,c,C,C,parliamentary_party,9.5,0.7,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,kd,KD,KD,parliamentary_party,3.3,0.4,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,l,L,L,parliamentary_party,4.5,0.5,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,m,M,M,parliamentary_party,22.0,1.0,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,mp,MP,MP,parliamentary_party,4.1,0.6,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,s,S,S,parliamentary_party,31.8,1.1,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,v,V,V,parliamentary_party,6.8,0.6,observed,ME/ME0201/ME0201A/Vid10
2017M11,2017-11-01,2017-11,övr,övriga,OTHER,other_party,2.7,0.5,observed,ME/ME0201/ME0201A/Vid10
2018M05,2018-05-01,2018-05,SD,SD,SD,parliamentary_party,18.8,1.0,observed,ME/ME0201/ME0201A/Vid10
2018M05,2018-05-01,2018-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
