wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,second_choice_code_raw,second_choice_raw,second_choice_party,second_choice_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,c,C,C,parliamentary_party,10.6,1.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,17.3,1.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,kd,KD,KD,parliamentary_party,8.1,1.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,l,L,L,parliamentary_party,36.5,2.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,m,M,M,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,mp,MP,MP,parliamentary_party,6.4,1.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,s,S,S,parliamentary_party,7.9,1.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,v,V,V,parliamentary_party,0.5,0.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,8.3,1.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,övr,övriga,OTHER,other_party,0.7,0.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,c,C,C,parliamentary_party,3.8,1.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,18.0,3.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
