wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2014M11,2014-11-01,2014-11,TOT,tot18+,SD,SD,SD,parliamentary_party,10.6,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,c,C,C,parliamentary_party,5.7,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.9,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,l,L,L,parliamentary_party,5.4,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,m,M,M,parliamentary_party,24.7,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,mp,MP,MP,parliamentary_party,7.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,s,S,S,parliamentary_party,33.3,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,v,V,V,parliamentary_party,6.1,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2014M11,2014-11-01,2014-11,TOT,tot18+,övr,övriga,OTHER,other_party,2.4,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,SD,SD,SD,parliamentary_party,13.4,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,c,C,C,parliamentary_party,5.7,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.8,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,l,L,L,parliamentary_party,5.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,m,M,M,parliamentary_party,25.8,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,mp,MP,MP,parliamentary_party,7.1,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,s,S,S,parliamentary_party,31.2,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,v,V,V,parliamentary_party,6.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2015M05,2015-05-01,2015-05,TOT,tot18+,övr,övriga,OTHER,other_party,2.0,0.3,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,SD,SD,SD,parliamentary_party,17.5,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,c,C,C,parliamentary_party,6.1,0.5,observed,ME/ME0201/ME0201B/Partisympati051
