election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,training_elections_count,training_elections
2018-09-09,2018,2018-07-15,56,bias_only,L,True,5.4896,3.0336,2.6568,2.7288,2.8633,3.0228,3.1943,3.3495,3.4596,100.0,2.4668,2.318022,False,False,False,0.3309,0.6207,0.8028,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,C,True,8.6077,6.2268,5.3903,5.5928,5.8978,6.2078,6.5119,6.9164,7.1561,100.0,2.4,2.088011,False,False,False,0.6141,1.3237,1.7658,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,KD,True,6.3223,1.8496,1.5806,1.64,1.734,1.8426,1.9606,2.063,2.1351,100.0,4.4797,4.377481,False,False,False,0.2266,0.423,0.5545,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,S,True,28.261,16.3167,14.7055,15.1147,15.737,16.2955,16.9084,17.551,17.9809,100.0,11.9655,11.407604,False,False,False,1.1714,2.4363,3.2754,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,V,True,8.0049,5.2367,4.7072,4.8314,5.0213,5.2286,5.4351,5.6614,5.7987,100.0,2.7763,2.586074,False,False,False,0.4138,0.8301,1.0914,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,MP,True,4.4143,2.6708,2.2904,2.3858,2.5237,2.6567,2.8055,2.9726,3.0971,100.0,1.7575,1.612213,False,False,False,0.2818,0.5868,0.8067,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,SD,True,17.534,51.3537,47.8921,48.6931,50.0438,51.3676,52.643,54.0113,54.8038,0.0,33.8336,32.693246,False,False,False,2.5992,5.3182,6.9117,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,REST,False,1.5307,1.4219,1.1502,1.2075,1.3052,1.4099,1.531,1.6476,1.7323,74.98,0.1207,0.071079,True,True,True,0.2258,0.4401,0.5822,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,M,True,19.8356,18.4331,1.8677,2.0008,18.6586,23.0453,24.5507,25.8552,26.5718,26.34,3.2097,2.796262,True,True,True,5.8921,23.8544,24.7041,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,L,True,5.4896,4.5292,0.6706,0.7084,4.4612,5.4899,6.0236,6.4647,6.7424,50.0,0.0003,0.437318,True,True,True,1.5624,5.7564,6.0718,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,C,True,8.6077,8.2203,1.2057,1.2774,7.3892,9.9807,10.9137,11.7005,12.2481,27.06,1.373,1.197267,True,True,True,3.5245,10.4231,11.0424,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,KD,True,6.3223,2.9949,0.3648,0.3903,2.9479,3.6962,3.9922,4.2473,4.3797,100.0,2.6261,2.570722,False,False,False,1.0442,3.857,4.0149,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,S,True,28.261,22.2104,2.9638,3.1293,24.8708,28.0443,28.9563,29.8486,30.3177,55.66,0.2167,1.833924,True,True,True,4.0855,26.7193,27.3539,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,V,True,8.0049,8.7727,1.0095,1.0538,8.7616,10.9479,11.7361,12.2631,12.5517,24.92,2.943,2.022184,False,True,True,2.9746,11.2093,11.5422,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,MP,True,4.4143,4.2939,0.6186,0.6557,3.9431,5.2619,5.7028,6.0726,6.3064,25.9,0.8476,0.675285,True,True,True,1.7597,5.4169,5.6878,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,SD,True,17.534,27.9586,6.1996,6.4645,6.9332,7.606,9.2016,90.4387,90.8461,75.08,9.928,10.040543,False,True,True,2.2684,83.9742,84.6465,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,noise_only,REST,False,1.5307,2.587,0.2471,0.2659,2.2998,3.1636,3.5012,3.7825,3.9795,24.92,1.6329,0.980011,False,True,True,1.2013,3.5166,3.7324,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,M,True,19.8356,14.6913,0.4882,0.5244,14.7517,18.7141,20.0259,21.0514,21.6543,71.6,1.1215,1.759982,True,True,True,5.2741,20.527,21.1661,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,L,True,5.4896,3.4374,0.1687,0.1785,3.4986,4.2623,4.6929,5.1035,5.3341,97.2,1.2273,1.096104,False,False,False,1.1943,4.925,5.1654,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,C,True,8.6077,7.0646,0.3438,0.3642,6.5818,8.8354,9.6262,10.3206,10.7397,41.76,0.2276,0.757325,True,True,True,3.0444,9.9565,10.3959,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,KD,True,6.3223,2.1869,0.0878,0.0939,2.1624,2.7478,2.9865,3.196,3.313,100.0,3.5745,3.527052,False,False,False,0.824,3.102,3.2251,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,S,True,28.261,18.9611,0.8346,0.8828,21.4311,24.4597,25.4063,26.2546,26.7465,99.78,3.8012,4.42497,False,False,False,3.9752,25.3718,25.912,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_plus_noise,V,True,8.0049,6.3344,0.2397,0.2508,6.4627,8.0338,8.7061,9.1016,9.3556,49.14,0.0289,0.67635,True,True,True,2.2434,8.8508,9.1159,4,"[2002, 2006, 2010, 2014]"
