tier,target_year,horizon_days,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
tier3,2018,112,12345,193,M+MP+SD,0.3021,0,148,0.09126440999999999
tier3,2018,112,12345,194,L+MP+SD,0.0,0,98,0.0
tier3,2018,112,12345,195,M+L+MP+SD,0.8337,0,168,0.69505569
tier3,2018,112,12345,196,C+MP+SD,0.0,0,109,0.0
tier3,2018,112,12345,197,M+C+MP+SD,0.9993,1,179,4.900000000000475e-07
tier3,2018,112,12345,198,L+C+MP+SD,0.0019,0,129,3.61e-06
tier3,2018,112,12345,199,M+L+C+MP+SD,1.0,1,199,0.0
tier3,2018,112,12345,200,KD+MP+SD,0.0,0,100,0.0
tier3,2018,112,12345,201,M+KD+MP+SD,0.30325,0,170,0.09196056250000001
tier3,2018,112,12345,202,L+KD+MP+SD,0.0,0,120,0.0
tier3,2018,112,12345,203,M+L+KD+MP+SD,0.84,1,190,0.02560000000000001
tier3,2018,112,12345,204,C+KD+MP+SD,0.0,0,131,0.0
tier3,2018,112,12345,205,M+C+KD+MP+SD,1.0,1,201,0.0
tier3,2018,112,12345,206,L+C+KD+MP+SD,0.0019,0,151,3.61e-06
tier3,2018,112,12345,207,M+L+C+KD+MP+SD,1.0,1,221,0.0
tier3,2018,112,12345,208,S+MP+SD,0.79795,1,178,0.04082420249999998
tier3,2018,112,12345,209,M+S+MP+SD,1.0,1,248,0.0
tier3,2018,112,12345,210,L+S+MP+SD,0.97725,1,198,0.0005175625000000022
tier3,2018,112,12345,211,M+L+S+MP+SD,1.0,1,268,0.0
tier3,2018,112,12345,212,C+S+MP+SD,1.0,1,209,0.0
tier3,2018,112,12345,213,M+C+S+MP+SD,1.0,1,279,0.0
tier3,2018,112,12345,214,L+C+S+MP+SD,1.0,1,229,0.0
tier3,2018,112,12345,215,M+L+C+S+MP+SD,1.0,1,299,0.0
tier3,2018,112,12345,216,KD+S+MP+SD,0.80205,1,200,0.03918420249999999
tier3,2018,112,12345,217,M+KD+S+MP+SD,1.0,1,270,0.0
tier3,2018,112,12345,218,L+KD+S+MP+SD,0.97725,1,220,0.0005175625000000022
tier3,2018,112,12345,219,M+L+KD+S+MP+SD,1.0,1,290,0.0
tier3,2018,112,12345,220,C+KD+S+MP+SD,1.0,1,231,0.0
tier3,2018,112,12345,221,M+C+KD+S+MP+SD,1.0,1,301,0.0
tier3,2018,112,12345,222,L+C+KD+S+MP+SD,1.0,1,251,0.0
tier3,2018,112,12345,223,M+L+C+KD+S+MP+SD,1.0,1,321,0.0
tier3,2018,112,12345,224,V+MP+SD,0.0,0,106,0.0
tier3,2018,112,12345,225,M+V+MP+SD,0.98655,1,176,0.000180902499999999
tier3,2018,112,12345,226,L+V+MP+SD,0.0,0,126,0.0
tier3,2018,112,12345,227,M+L+V+MP+SD,1.0,1,196,0.0
tier3,2018,112,12345,228,C+V+MP+SD,0.04715,0,137,0.0022231225
tier3,2018,112,12345,229,M+C+V+MP+SD,1.0,1,207,0.0
tier3,2018,112,12345,230,L+C+V+MP+SD,0.35605,0,157,0.1267716025
tier3,2018,112,12345,231,M+L+C+V+MP+SD,1.0,1,227,0.0
tier3,2018,112,12345,232,KD+V+MP+SD,0.0,0,128,0.0
tier3,2018,112,12345,233,M+KD+V+MP+SD,0.9881,1,198,0.0001416100000000005
tier3,2018,112,12345,234,L+KD+V+MP+SD,0.0,0,148,0.0
tier3,2018,112,12345,235,M+L+KD+V+MP+SD,1.0,1,218,0.0
tier3,2018,112,12345,236,C+KD+V+MP+SD,0.0484,0,159,0.00234256
tier3,2018,112,12345,237,M+C+KD+V+MP+SD,1.0,1,229,0.0
tier3,2018,112,12345,238,L+C+KD+V+MP+SD,0.35915,1,179,0.4106887224999999
tier3,2018,112,12345,239,M+L+C+KD+V+MP+SD,1.0,1,249,0.0
tier3,2018,112,12345,240,S+V+MP+SD,1.0,1,206,0.0
tier3,2018,112,12345,241,M+S+V+MP+SD,1.0,1,276,0.0
tier3,2018,112,12345,242,L+S+V+MP+SD,1.0,1,226,0.0
tier3,2018,112,12345,243,M+L+S+V+MP+SD,1.0,1,296,0.0
tier3,2018,112,12345,244,C+S+V+MP+SD,1.0,1,237,0.0
tier3,2018,112,12345,245,M+C+S+V+MP+SD,1.0,1,307,0.0
tier3,2018,112,12345,246,L+C+S+V+MP+SD,1.0,1,257,0.0
tier3,2018,112,12345,247,M+L+C+S+V+MP+SD,1.0,1,327,0.0
tier3,2018,112,12345,248,KD+S+V+MP+SD,1.0,1,228,0.0
tier3,2018,112,12345,249,M+KD+S+V+MP+SD,1.0,1,298,0.0
tier3,2018,112,12345,250,L+KD+S+V+MP+SD,1.0,1,248,0.0
tier3,2018,112,12345,251,M+L+KD+S+V+MP+SD,1.0,1,318,0.0
tier3,2018,112,12345,252,C+KD+S+V+MP+SD,1.0,1,259,0.0
tier3,2018,112,12345,253,M+C+KD+S+V+MP+SD,1.0,1,329,0.0
tier3,2018,112,12345,254,L+C+KD+S+V+MP+SD,1.0,1,279,0.0
tier3,2018,112,24680,1,M,0.0,0,70,0.0
tier3,2018,112,24680,2,L,0.0,0,20,0.0
tier3,2018,112,24680,3,M+L,0.0,0,90,0.0
tier3,2018,112,24680,4,C,0.0,0,31,0.0
tier3,2018,112,24680,5,M+C,0.0,0,101,0.0
tier3,2018,112,24680,6,L+C,0.0,0,51,0.0
tier3,2018,112,24680,7,M+L+C,0.0,0,121,0.0
tier3,2018,112,24680,8,KD,0.0,0,22,0.0
tier3,2018,112,24680,9,M+KD,0.0,0,92,0.0
tier3,2018,112,24680,10,L+KD,0.0,0,42,0.0
tier3,2018,112,24680,11,M+L+KD,0.0,0,112,0.0
tier3,2018,112,24680,12,C+KD,0.0,0,53,0.0
tier3,2018,112,24680,13,M+C+KD,0.0,0,123,0.0
tier3,2018,112,24680,14,L+C+KD,0.0,0,73,0.0
tier3,2018,112,24680,15,M+L+C+KD,0.0,0,143,0.0
tier3,2018,112,24680,16,S,0.0,0,100,0.0
tier3,2018,112,24680,17,M+S,0.64325,0,170,0.4137705625
tier3,2018,112,24680,18,L+S,0.0,0,120,0.0
tier3,2018,112,24680,19,M+L+S,0.9538,1,190,0.0021344400000000018
tier3,2018,112,24680,20,C+S,0.0,0,131,0.0
