origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2023-10-03,S,True,0.18165453843332097,0.18165453843332097
2023-10-03,V,True,0.0731495699716932,0.0731495699716932
2023-10-03,MP,True,0.11872119722542077,0.11872119722542077
2023-10-03,SD,True,0.7917058210775054,0.7917058210775054
2023-10-17,M,True,0.18304447590180423,0.18304447590180423
2023-10-17,L,True,0.061100395738813845,0.061100395738813845
2023-10-17,C,True,0.12785646061145114,0.12785646061145114
2023-10-17,KD,True,0.06356222875012518,0.06356222875012518
2023-10-17,S,True,0.25954984970058564,0.25954984970058564
2023-10-17,V,True,0.07305330085489392,0.07305330085489392
2023-10-17,MP,True,0.049062279258819785,0.049062279258819785
2023-10-17,SD,True,0.43724072568631045,0.43724072568631045
2023-10-31,M,True,0.13130279538280504,0.13130279538280504
2023-10-31,L,True,0.062014420448001484,0.062014420448001484
2023-10-31,C,True,0.0621875064011522,0.0621875064011522
2023-10-31,KD,True,0.038897770245076235,0.038897770245076235
2023-10-31,S,True,0.26765331689616306,0.26765331689616306
2023-10-31,V,True,0.05513511878538449,0.05513511878538449
2023-10-31,MP,True,0.05074840502336031,0.05074840502336031
2023-10-31,SD,True,0.37382962271930514,0.37382962271930514
2023-11-14,M,True,0.13180134888171197,0.13180134888171197
2023-11-14,L,True,0.12687951525390703,0.12687951525390703
2023-11-14,C,True,0.059469306771987834,0.059469306771987834
2023-11-14,KD,True,0.06324516137804914,0.06324516137804914
2023-11-14,S,True,0.3023905974098281,0.3023905974098281
2023-11-14,V,True,0.07114087196065957,0.07114087196065957
2023-11-14,MP,True,0.06754331850665718,0.06754331850665718
2023-11-14,SD,True,0.17906040661711609,0.17906040661711609
2023-11-28,M,True,0.25329440971212036,0.25329440971212036
2023-11-28,L,True,0.06054939034700088,0.06054939034700088
2023-11-28,C,True,0.21656832948404375,0.21656832948404375
2023-11-28,KD,True,0.12030208090111516,0.12030208090111516
2023-11-28,S,True,0.47798417311268426,0.47798417311268426
2023-11-28,V,True,0.07302341019413788,0.07302341019413788
2023-11-28,MP,True,0.04731001780211894,0.04731001780211894
2023-11-28,SD,True,0.17728803908353352,0.17728803908353352
2023-12-12,M,True,0.24544951595627656,0.24544951595627656
2023-12-12,L,True,0.06072218967185834,0.06072218967185834
2023-12-12,C,True,0.12530805100639203,0.12530805100639203
2023-12-12,KD,True,0.06046048485897326,0.06046048485897326
2023-12-12,S,True,0.3658458206917883,0.3658458206917883
2023-12-12,V,True,0.07333320486145847,0.07333320486145847
2023-12-12,MP,True,0.06882982975793783,0.06882982975793783
2023-12-12,SD,True,0.19260247059769592,0.19260247059769592
2023-12-26,M,True,0.38642058786674427,0.38642058786674427
2023-12-26,L,True,0.06442352065255286,0.06442352065255286
2023-12-26,C,True,0.03912777686420331,0.03912777686420331
2023-12-26,KD,True,0.11974956866216202,0.11974956866216202
2023-12-26,S,True,0.2630455353552983,0.2630455353552983
2023-12-26,V,True,0.08106325599919995,0.08106325599919995
2023-12-26,MP,True,0.07014932404182958,0.07014932404182958
2023-12-26,SD,True,0.3447673512781235,0.3447673512781235
2024-01-09,M,True,0.5478195743335897,0.5478195743335897
2024-01-09,L,True,0.038428597962396574,0.038428597962396574
2024-01-09,C,True,0.05911174960073695,0.05911174960073695
2024-01-09,KD,True,0.11687142549288844,0.11687142549288844
2024-01-09,S,True,0.2486073496097127,0.2486073496097127
2024-01-09,V,True,0.1961887873995875,0.1961887873995875
2024-01-09,MP,True,0.12270577458713175,0.12270577458713175
2024-01-09,SD,True,0.5001209375717925,0.5001209375717925
2024-01-23,M,True,0.6526592365234387,0.6526592365234387
2024-01-23,L,True,0.06401950443384563,0.06401950443384563
2024-01-23,C,True,0.04054006697003701,0.04054006697003701
2024-01-23,KD,True,0.12248773128707958,0.12248773128707958
2024-01-23,S,True,0.21969070768213778,0.21969070768213778
2024-01-23,V,True,0.12740781662181935,0.12740781662181935
2024-01-23,MP,True,0.047279777666574374,0.047279777666574374
2024-01-23,SD,True,0.4189093817634843,0.4189093817634843
2024-02-06,M,True,0.7282216878994082,0.7282216878994082
2024-02-06,L,True,0.06647496921526583,0.06647496921526583
2024-02-06,C,True,0.06360055606323192,0.06360055606323192
2024-02-06,KD,True,0.11784065578874381,0.11784065578874381
2024-02-06,S,True,0.24086232131155771,0.24086232131155771
2024-02-06,V,True,0.07500722183742614,0.07500722183742614
2024-02-06,MP,True,0.12234715001703078,0.12234715001703078
2024-02-06,SD,True,0.3241677729851036,0.3241677729851036
2024-02-20,M,True,0.29758997554153344,0.29758997554153344
2024-02-20,L,True,0.037905858714132476,0.037905858714132476
2024-02-20,C,True,0.06396456516403787,0.06396456516403787
2024-02-20,KD,True,0.041838706846675094,0.041838706846675094
2024-02-20,S,True,0.3509950949531316,0.3509950949531316
2024-02-20,V,True,0.07268758600874747,0.07268758600874747
2024-02-20,MP,True,0.20229755239707525,0.20229755239707525
2024-02-20,SD,True,0.16731396068309334,0.16731396068309334
2024-03-05,M,True,0.13512542729631,0.13512542729631
2024-03-05,L,True,0.03662705222087273,0.03662705222087273
2024-03-05,C,True,0.06355230223623679,0.06355230223623679
2024-03-05,KD,True,0.04299116453663214,0.04299116453663214
2024-03-05,S,True,0.3358553117089943,0.3358553117089943
2024-03-05,V,True,0.0522399548113662,0.0522399548113662
2024-03-05,MP,True,0.2868120547989976,0.2868120547989976
2024-03-05,SD,True,0.15306866500709815,0.15306866500709815
2024-03-19,M,True,0.16180661290195975,0.16180661290195975
2024-03-19,L,True,0.06449353364808288,0.06449353364808288
2024-03-19,C,True,0.06336122187763231,0.06336122187763231
2024-03-19,KD,True,0.04350819388990597,0.04350819388990597
2024-03-19,S,True,0.301675238586222,0.301675238586222
2024-03-19,V,True,0.07343799591432129,0.07343799591432129
2024-03-19,MP,True,0.2851426794787649,0.2851426794787649
2024-03-19,SD,True,0.14477257283560652,0.14477257283560652
2024-04-02,M,True,0.13210433598664156,0.13210433598664156
