model,horizon_days,party,cases,mean_crps,coverage_50,coverage_90,mean_width_50,mean_width_90
endpoint_fan,10,M,399,0.108557,0.619048,0.972431,0.334501,0.842722
endpoint_fan,10,MP,399,0.060025,0.498747,0.934837,0.171354,0.399287
endpoint_fan,10,S,399,0.16421,0.533835,0.927318,0.371354,1.08093
endpoint_fan,10,SD,399,0.127017,0.596491,0.942356,0.356599,0.988083
endpoint_fan,10,V,399,0.074214,0.561404,0.947368,0.209249,0.534788
endpoint_fan,11,C,399,0.068536,0.466165,0.887218,0.165416,0.392878
endpoint_fan,11,KD,399,0.082049,0.516291,0.934837,0.224592,0.47959
endpoint_fan,11,L,399,0.056793,0.43609,0.827068,0.123294,0.254122
endpoint_fan,11,M,399,0.114081,0.614035,0.964912,0.334501,0.842722
endpoint_fan,11,MP,399,0.063681,0.478697,0.919799,0.171354,0.399287
endpoint_fan,11,S,399,0.182003,0.493734,0.909774,0.371354,1.08093
endpoint_fan,11,SD,399,0.137463,0.54386,0.929825,0.356599,0.988083
endpoint_fan,11,V,399,0.079534,0.531328,0.927318,0.209249,0.534788
frozen_state,1,C,399,0.009273,0.380952,0.380952,0.0,0.0
frozen_state,1,KD,399,0.014286,0.26817,0.26817,0.0,0.0
frozen_state,1,L,399,0.009524,0.223058,0.223058,0.0,0.0
frozen_state,1,M,399,0.018797,0.315789,0.315789,0.0,0.0
frozen_state,1,MP,399,0.010276,0.328321,0.328321,0.0,0.0
frozen_state,1,S,399,0.036341,0.315789,0.315789,0.0,0.0
frozen_state,1,SD,399,0.025063,0.315789,0.315789,0.0,0.0
frozen_state,1,V,399,0.01604,0.340852,0.340852,0.0,0.0
frozen_state,2,C,399,0.020802,0.33584,0.33584,0.0,0.0
frozen_state,2,KD,399,0.025815,0.215539,0.215539,0.0,0.0
frozen_state,2,L,399,0.019048,0.200501,0.200501,0.0,0.0
frozen_state,2,M,399,0.035589,0.235589,0.235589,0.0,0.0
frozen_state,2,MP,399,0.018797,0.295739,0.295739,0.0,0.0
frozen_state,2,S,399,0.057143,0.240602,0.240602,0.0,0.0
frozen_state,2,SD,399,0.043609,0.255639,0.255639,0.0,0.0
frozen_state,2,V,399,0.026065,0.298246,0.298246,0.0,0.0
frozen_state,3,C,399,0.029323,0.303258,0.303258,0.0,0.0
frozen_state,3,KD,399,0.036341,0.185464,0.185464,0.0,0.0
frozen_state,3,L,399,0.026065,0.172932,0.172932,0.0,0.0
frozen_state,3,M,399,0.051128,0.200501,0.200501,0.0,0.0
frozen_state,3,MP,399,0.028321,0.270677,0.270677,0.0,0.0
frozen_state,3,S,399,0.080702,0.190476,0.190476,0.0,0.0
frozen_state,3,SD,399,0.061153,0.20802,0.20802,0.0,0.0
frozen_state,3,V,399,0.037343,0.250627,0.250627,0.0,0.0
frozen_state,4,C,399,0.03985,0.250627,0.250627,0.0,0.0
frozen_state,4,KD,399,0.047118,0.152882,0.152882,0.0,0.0
frozen_state,4,L,399,0.033584,0.155388,0.155388,0.0,0.0
frozen_state,4,M,399,0.06792,0.16792,0.16792,0.0,0.0
frozen_state,4,MP,399,0.033584,0.258145,0.258145,0.0,0.0
frozen_state,4,S,399,0.103008,0.152882,0.152882,0.0,0.0
frozen_state,4,SD,399,0.079449,0.175439,0.175439,0.0,0.0
frozen_state,4,V,399,0.049373,0.218045,0.218045,0.0,0.0
frozen_state,5,C,399,0.047368,0.225564,0.225564,0.0,0.0
frozen_state,5,KD,399,0.057143,0.150376,0.150376,0.0,0.0
frozen_state,5,L,399,0.03985,0.140351,0.140351,0.0,0.0
frozen_state,5,M,399,0.081203,0.142857,0.142857,0.0,0.0
frozen_state,5,MP,399,0.040602,0.230576,0.230576,0.0,0.0
frozen_state,5,S,399,0.122055,0.130326,0.130326,0.0,0.0
frozen_state,5,SD,399,0.1,0.135338,0.135338,0.0,0.0
frozen_state,5,V,399,0.059148,0.185464,0.185464,0.0,0.0
frozen_state,6,C,399,0.05589,0.192982,0.192982,0.0,0.0
frozen_state,6,KD,399,0.06817,0.120301,0.120301,0.0,0.0
frozen_state,6,L,399,0.044862,0.132832,0.132832,0.0,0.0
frozen_state,6,M,399,0.097243,0.110276,0.110276,0.0,0.0
frozen_state,6,MP,399,0.049373,0.197995,0.197995,0.0,0.0
frozen_state,6,S,399,0.140351,0.110276,0.110276,0.0,0.0
frozen_state,6,SD,399,0.111779,0.12782,0.12782,0.0,0.0
frozen_state,6,V,399,0.066165,0.172932,0.172932,0.0,0.0
frozen_state,7,C,399,0.066416,0.180451,0.180451,0.0,0.0
frozen_state,7,KD,399,0.077444,0.122807,0.122807,0.0,0.0
frozen_state,7,L,399,0.050627,0.12782,0.12782,0.0,0.0
frozen_state,7,M,399,0.110526,0.102757,0.102757,0.0,0.0
frozen_state,7,MP,399,0.056642,0.180451,0.180451,0.0,0.0
frozen_state,7,S,399,0.16391,0.097744,0.097744,0.0,0.0
frozen_state,7,SD,399,0.123308,0.120301,0.120301,0.0,0.0
frozen_state,7,V,399,0.073684,0.155388,0.155388,0.0,0.0
frozen_state,8,C,399,0.070677,0.172932,0.172932,0.0,0.0
frozen_state,8,KD,399,0.084712,0.125313,0.125313,0.0,0.0
frozen_state,8,L,399,0.054637,0.105263,0.105263,0.0,0.0
frozen_state,8,M,399,0.121554,0.097744,0.097744,0.0,0.0
frozen_state,8,MP,399,0.064411,0.165414,0.165414,0.0,0.0
frozen_state,8,S,399,0.185714,0.090226,0.090226,0.0,0.0
frozen_state,8,SD,399,0.141353,0.102757,0.102757,0.0,0.0
frozen_state,8,V,399,0.080702,0.157895,0.157895,0.0,0.0
frozen_state,9,C,399,0.079198,0.155388,0.155388,0.0,0.0
frozen_state,9,KD,399,0.094737,0.100251,0.100251,0.0,0.0
frozen_state,9,L,399,0.060652,0.102757,0.102757,0.0,0.0
frozen_state,9,M,399,0.133333,0.087719,0.087719,0.0,0.0
frozen_state,9,MP,399,0.070927,0.150376,0.150376,0.0,0.0
frozen_state,9,S,399,0.198496,0.090226,0.090226,0.0,0.0
frozen_state,9,SD,399,0.153634,0.087719,0.087719,0.0,0.0
frozen_state,9,V,399,0.087719,0.14787,0.14787,0.0,0.0
frozen_state,10,C,399,0.083459,0.160401,0.160401,0.0,0.0
frozen_state,10,KD,399,0.102757,0.092732,0.092732,0.0,0.0
