model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2018-01-08,2018-02-05,28,Development,V,True,7.5007,7.5007,7.7,-0.1993,0.1993,0.039703,7.1074,7.19,7.3396,7.5007,7.6633,7.8069,7.8952,0,1,1,0.3237,0.6169,0.7878,0.118522,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,MP,True,4.0985,4.1024,4.0,0.0985,0.0985,0.009709,3.8151,3.8745,3.9784,4.0985,4.2234,4.3376,4.4009,1,1,1,0.245,0.4631,0.5859,0.062892,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,SD,True,16.5858,16.5917,16.8,-0.2142,0.2142,0.045873,16.0347,16.1596,16.368,16.5858,16.824,17.0208,17.1513,1,1,1,0.4559,0.8612,1.1166,0.129624,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,REST,False,2.9038,2.9084,2.9,0.0038,0.0038,1.4e-05,2.5833,2.6547,2.7764,2.9038,3.0356,3.167,3.2515,1,1,1,0.2592,0.5123,0.6682,0.045114,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,M,True,23.3929,23.3979,23.0,0.3929,0.3929,0.154336,22.784,22.9144,23.1503,23.3929,23.6481,23.8714,24.0127,0,1,1,0.4979,0.957,1.2287,0.241951,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,L,True,4.8972,4.8984,4.7,0.1972,0.1972,0.038889,4.6097,4.67,4.7785,4.8972,5.0185,5.1267,5.1959,0,1,1,0.24,0.4567,0.5862,0.120734,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,C,True,9.2993,9.3052,9.5,-0.2007,0.2007,0.040261,8.8283,8.9296,9.1071,9.2993,9.4994,9.6758,9.7926,0,1,1,0.3923,0.7462,0.9643,0.119564,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,KD,True,2.9929,2.9979,3.2,-0.2071,0.2071,0.042891,2.7618,2.8152,2.9001,2.9929,3.0937,3.1824,3.2452,0,0,1,0.1936,0.3672,0.4833,0.13315,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,S,True,28.2998,28.2974,27.9,0.3998,0.3998,0.15986,27.5688,27.7403,28.006,28.2998,28.5928,28.8548,29.0035,0,1,1,0.5868,1.1145,1.4347,0.238235,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,V,True,7.5007,7.5007,7.8,-0.2993,0.2993,0.089554,7.1074,7.19,7.3396,7.5007,7.6633,7.8069,7.8952,0,1,1,0.3237,0.6169,0.7878,0.188431,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,MP,True,4.0985,4.1024,3.9,0.1985,0.1985,0.039417,3.8151,3.8745,3.9784,4.0985,4.2234,4.3376,4.4009,0,1,1,0.245,0.4631,0.5859,0.122264,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,SD,True,16.5858,16.5917,17.2,-0.6142,0.6142,0.377218,16.0347,16.1596,16.368,16.5858,16.824,17.0208,17.1513,0,0,0,0.4559,0.8612,1.1166,0.42922,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-03-05,56,Development,REST,False,2.9038,2.9084,2.8,0.1038,0.1038,0.010766,2.5833,2.6547,2.7764,2.9038,3.0356,3.167,3.2515,1,1,1,0.2592,0.5123,0.6682,0.067307,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,M,True,23.3929,23.3979,22.6,0.7929,0.7929,0.628621,22.784,22.9144,23.1503,23.3929,23.6481,23.8714,24.0127,0,0,0,0.4979,0.957,1.2287,0.591022,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,L,True,4.8972,4.8984,4.6,0.2972,0.2972,0.088329,4.6097,4.67,4.7785,4.8972,5.0185,5.1267,5.1959,0,0,0,0.24,0.4567,0.5862,0.203837,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,C,True,9.2993,9.3052,9.5,-0.2007,0.2007,0.040261,8.8283,8.9296,9.1071,9.2993,9.4994,9.6758,9.7926,0,1,1,0.3923,0.7462,0.9643,0.119564,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,KD,True,2.9929,2.9979,3.4,-0.4071,0.4071,0.165732,2.7618,2.8152,2.9001,2.9929,3.0937,3.1824,3.2452,0,0,0,0.1936,0.3672,0.4833,0.320703,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,S,True,28.2998,28.2974,27.6,0.6998,0.6998,0.489755,27.5688,27.7403,28.006,28.2998,28.5928,28.8548,29.0035,0,0,1,0.5868,1.1145,1.4347,0.473078,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,V,True,7.5007,7.5007,7.8,-0.2993,0.2993,0.089554,7.1074,7.19,7.3396,7.5007,7.6633,7.8069,7.8952,0,1,1,0.3237,0.6169,0.7878,0.188431,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-04-02,84,Development,MP,True,4.0985,4.1024,4.0,0.0985,0.0985,0.009709,3.8151,3.8745,3.9784,4.0985,4.2234,4.3376,4.4009,1,1,1,0.245,0.4631,0.5859,0.062892,5000,115732927,2018-01-08,0
