model,origin_date,target_date,horizon_days,party,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2026-01-08,2026-04-02,84,S,34.4701,34.4684,32.9,1.5701,1.5701,2.465199,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,0,0,0,0.7043,1.3196,1.6833,1.276223,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,V,7.2881,7.2923,7.7,-0.4119,0.4119,0.169624,6.9231,7.0063,7.1398,7.2881,7.4475,7.5863,7.6737,0,0,0,0.3076,0.58,0.7506,0.286681,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,MP,5.6943,5.6996,6.2,-0.5057,0.5057,0.255723,5.1638,5.2734,5.4778,5.6943,5.919,6.1201,6.2529,0,0,1,0.4412,0.8467,1.0891,0.336148,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,SD,21.4883,21.4821,19.9,1.5883,1.5883,2.522786,20.7636,20.9201,21.1862,21.4883,21.7814,22.0362,22.2045,0,0,0,0.5952,1.1161,1.4409,1.336553,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,REST,2.0996,2.1799,1.8,0.2996,0.2996,0.089742,1.328,1.4613,1.7305,2.0996,2.5331,2.9944,3.3416,1,1,1,0.8026,1.5331,2.0136,0.199965,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-30,112,M,17.877,17.8758,17.9,-0.023,0.023,0.000529,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.084067,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-30,112,L,1.9974,2.0,2.4,-0.4026,0.4026,0.162087,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,0,0,0,0.1535,0.2853,0.3652,0.336859,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-30,112,C,4.7958,4.7976,6.2,-1.4042,1.4042,1.971902,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,0,0,0,0.2685,0.5022,0.6577,1.289993,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-30,112,KD,4.1985,4.2043,4.9,-0.7015,0.7015,0.492146,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,0,0,0,0.268,0.5116,0.6615,0.581841,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-30,112,S,34.4701,34.4684,32.6,1.8701,1.8701,3.497256,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,0,0,0,0.7043,1.3196,1.6833,1.576119,5000,1935180223,2026-01-08,0
