election_year,election_date,party,party_raw,final_poll_consensus_pct,actual_result_pct,votes,valid_votes_total,residual_pp,distance_from_4_pp,passed_4pct,forecast_side,actual_side,quadrant,threshold_crossing_distance_pp,threshold_band,party_eligible_poll_count,party_contributing_poll_count,party_pollster_count,party_sample_size_coverage,election_poll_count,election_pollster_count,consensus_window_days,metadata_quality,episode_quality,source_notes
2018,2018-09-09,KD,Kristdemokraterna,6.0747,6.3223,409478,6476725,0.2476,2.0747,True,True,True,above_to_above,0.2476,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,L,Liberalerna (tidigare Folkpartiet),5.9566,5.4896,355546,6476725,-0.467,1.9566,True,True,True,above_to_above,-0.467,5–6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,M,Moderaterna,17.7732,19.8356,1284698,6476725,2.0624,13.7732,True,True,True,above_to_above,2.0624,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,MP,Miljöpartiet de gröna,4.9823,4.4143,285899,6476725,-0.568,0.9823,True,True,True,above_to_above,-0.568,4.5–5,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,S,Arbetarepartiet-Socialdemokraterna,25.096,28.261,1830386,6476725,3.165,21.096,True,True,True,above_to_above,3.165,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,SD,Sverigedemokraterna,18.5856,17.534,1135627,6476725,-1.0516,14.5856,True,True,True,above_to_above,-1.0516,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,V,Vänsterpartiet,9.8775,8.0049,518454,6476725,-1.8726,5.8775,True,True,True,above_to_above,-1.8726,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2022,2022-09-11,C,Centerpartiet,7.4334,6.7142,434945,6477970,-0.7192,3.4334,True,True,True,above_to_above,-0.7192,>=6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,FI,Feministiskt initiativ,0.3,0.0487,3157,6477970,-0.2513,-3.7,False,False,False,below_to_below,0.2513,<2,1,1,1,1.0,47,8,14,COMPLETE,LOW,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,KD,Kristdemokraterna,5.6681,5.3367,345712,6477970,-0.3314,1.6681,True,True,True,above_to_above,-0.3314,5–6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,L,Liberalerna (tidigare Folkpartiet),4.8795,4.6086,298542,6477970,-0.2709,0.8795,True,True,True,above_to_above,-0.2709,4.5–5,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,M,Moderaterna,17.6791,19.1021,1237428,6477970,1.423,13.6791,True,True,True,above_to_above,1.423,>=6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,MP,Miljöpartiet de gröna,5.5599,5.0825,329242,6477970,-0.4774,1.5599,True,True,True,above_to_above,-0.4774,5–6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,S,Arbetarepartiet-Socialdemokraterna,28.8264,30.3255,1964474,6477970,1.4991,24.8264,True,True,True,above_to_above,1.4991,>=6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,SD,Sverigedemokraterna,20.9928,20.5361,1330325,6477970,-0.4567,16.9928,True,True,True,above_to_above,-0.4567,>=6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
2022,2022-09-11,V,Vänsterpartiet,7.6637,6.7467,437050,6477970,-0.917,3.6637,True,True,True,above_to_above,-0.917,>=6,47,8,8,0.875,47,8,14,COMPLETE,HIGH,"Multi-house consensus (47 polls, 8 pollsters)."
