election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-06-17,84,base,S,True,28.261,25.0663,22.9113,23.4842,24.188,25.0412,25.9116,26.6798,27.2503,97.68,3.2198,2.467273,False,False,False,1.7236,3.1956,4.3389,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,V,True,8.0049,9.1806,8.3052,8.4888,8.8103,9.1652,9.5292,9.8883,10.1209,1.08,1.1603,0.872344,False,False,False,0.7188,1.3994,1.8157,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,MP,True,4.4143,4.3992,3.713,3.889,4.1213,4.3803,4.6492,4.9348,5.1573,53.7,0.0339,0.094381,True,True,True,0.5279,1.0457,1.4443,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,SD,True,17.534,20.6999,17.8565,18.4909,19.5992,20.6499,21.6738,23.0855,23.8155,2.64,3.1159,2.234866,False,False,False,2.0746,4.5946,5.959,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,REST,False,1.5307,2.8156,2.2812,2.3941,2.5865,2.7962,3.0195,3.2502,3.4156,0.0,1.2655,1.093517,False,False,False,0.433,0.8561,1.1344,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,M,True,19.8356,20.3341,16.6914,18.0617,18.9469,20.242,21.6756,22.6336,24.404,43.24,0.4064,0.506923,True,True,True,2.7286,4.5719,7.7126,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,L,True,5.4896,4.5485,3.853,3.96,4.1992,4.5195,4.886,5.1826,5.337,98.18,0.9701,0.684594,False,False,False,0.6868,1.2226,1.484,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,C,True,8.6077,9.799,8.0615,8.5459,9.1602,9.741,10.3685,11.1006,11.7051,11.08,1.1333,0.73439,False,True,True,1.2083,2.5548,3.6436,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,KD,True,6.3223,2.2704,1.8323,1.9291,2.0752,2.2589,2.4472,2.6401,2.7404,100.0,4.0634,3.89723,False,False,False,0.372,0.711,0.9081,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,S,True,28.261,26.8624,24.7074,25.2803,25.9841,26.8374,27.7077,28.4759,29.0464,86.58,1.4236,0.872683,False,True,True,1.7236,3.1956,4.3389,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,V,True,8.0049,8.2911,7.4156,7.5992,7.9207,8.2756,8.6396,8.9987,9.2313,30.4,0.2708,0.179378,True,True,True,0.7188,1.3994,1.8157,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,MP,True,4.4143,3.4292,2.7429,2.919,3.1512,3.4103,3.6792,3.9647,4.1872,97.64,1.004,0.757298,False,False,False,0.5279,1.0457,1.4443,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
