model,tier,target_year,horizon_days,seed,draws,k_outer,training_residual_years,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,coverage_50_8party,coverage_80_8party,coverage_90_8party,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,min_lambda,p01_lambda,p10_lambda,fraction_lambda_lt_1,atom_index_counts,elapsed_seconds,mandate_law,first_divisor,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks,complement_symmetry_max_abs_diff,complement_symmetry_holds,seat_total_always_349
CONTROL_pp_centered_noise,tier3,2018,84,98765,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,79.34,POST_2018,6/5,22.5769,6.690899999999999,0.375,0.625,0.75,0.03202553234251968,2.220446049250313e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,84,54321,20000,4,2002|2006|2010|2014,4.385383737490136,4.266438929565492,1.265552415334672,1.2398992383195113,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.6592858899057445,3.1125854698147943,3.964541552810269,0.375,0.625,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.7,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,84,54321,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.7,POST_2018,6/5,22.6215,6.7101,0.375,0.625,0.75,0.03194608976377952,1.6653345369377348e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,84,13579,20000,4,2002|2006|2010|2014,4.38575432895761,4.267320568392401,1.263674790014078,1.237769530757085,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.6621537652483538,3.1223440344180085,3.974994748061324,0.375,0.625,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.64,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,84,13579,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.64,POST_2018,6/5,22.5809,6.68755,0.375,0.625,0.75,0.03185789377952756,5.551115123125783e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,56,12345,20000,4,2002|2006|2010|2014,4.415431970954756,4.311098174355672,1.2676983949158813,1.2319073754387886,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.502032224098903,2.752837996010925,3.438769238172748,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,80.5,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,56,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,80.5,POST_2018,6/5,21.7087,6.2867875,0.375,0.625,0.625,0.030264158051181104,2.220446049250313e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,56,24680,20000,4,2002|2006|2010|2014,4.4183124174034125,4.31435212497127,1.2714487207747704,1.235252056140296,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5074905023624092,2.750707418873565,3.4275265918233355,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,80.9,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,56,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,80.9,POST_2018,6/5,21.7827,6.3154375,0.375,0.625,0.625,0.030380937874015752,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,56,98765,20000,4,2002|2006|2010|2014,4.402267238896689,4.297778948664652,1.2690023498803442,1.2331890073000584,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5189620600545188,2.769654880105943,3.4459215126094143,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,82.01,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,56,98765,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,82.01,POST_2018,6/5,21.7105,6.3029125,0.375,0.625,0.625,0.030107426417322836,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,56,54321,20000,4,2002|2006|2010|2014,4.40457651386215,4.299869118188646,1.2683848140374943,1.2328316555474323,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5029152630038758,2.756301358601284,3.4327291582443293,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,81.26,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,56,54321,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,81.26,POST_2018,6/5,21.6976,6.2958625,0.375,0.625,0.625,0.030110446732283466,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,56,13579,20000,4,2002|2006|2010|2014,4.395196276853093,4.290040282658495,1.2663507270608427,1.2311124641286981,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5070828573427482,2.763283456439255,3.4500479608696395,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,79.3,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,56,13579,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,79.3,POST_2018,6/5,21.6348,6.2838625,0.375,0.625,0.625,0.030100035413385826,4.163336342344337e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,28,12345,20000,4,2002|2006|2010|2014,3.753322695512164,3.6502123149653385,1.060316331202563,1.0387057455717832,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.3446088437892325,2.396550457470856,2.892839676938736,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.79,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,28,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.79,POST_2018,6/5,13.9902,3.976475,0.25,0.625,0.625,0.01854456966535433,1.6653345369377348e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,28,24680,20000,4,2002|2006|2010|2014,3.7551573223229875,3.6523282682895637,1.05934426760418,1.0376504698019136,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.333373992672022,2.397261325400092,2.888192467887086,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.32,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,28,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.32,POST_2018,6/5,13.9653,3.970975,0.25,0.625,0.625,0.018528202440944882,1.1102230246251565e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,28,98765,20000,4,2002|2006|2010|2014,3.7537561243769817,3.6511656614804835,1.0608176923189858,1.038914418008668,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.354735068352664,2.3988903626113567,2.8886910791655374,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.28,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,28,98765,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.28,POST_2018,6/5,13.9743,3.974175,0.375,0.625,0.625,0.01846432998031496,1.6653345369377348e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,28,54321,20000,4,2002|2006|2010|2014,3.7494186405814025,3.64719324951694,1.058226617563215,1.0364141049425983,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.3590905890480458,2.408746329473375,2.8964234190879785,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.62,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,28,54321,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.62,POST_2018,6/5,13.9357,3.96025,0.25,0.625,0.625,0.018520428051181103,2.220446049250313e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,28,13579,20000,4,2002|2006|2010|2014,3.755657431996743,3.6519703530847263,1.0596962610519234,1.0385947163599383,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.338752911772476,2.3969654277738934,2.884293042153195,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.73,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,28,13579,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,85.73,POST_2018,6/5,13.9844,3.9729875000000003,0.25,0.625,0.625,0.018604136948818895,1.1102230246251565e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,14,12345,20000,4,2002|2006|2010|2014,2.692606501389641,2.6013997943072473,0.7169069167410085,0.7127278721310161,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.2777051263544121,2.239944745073139,2.613660850114427,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,107.98,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,14,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,107.98,POST_2018,6/5,8.5825,2.4394125000000004,0.5,0.5,0.875,0.005677995118110237,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,14,24680,20000,4,2002|2006|2010|2014,2.6927894467787645,2.601986485048548,0.7160651243022056,0.7117439386724671,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.3309114023062643,2.2412581987184215,2.607733620677119,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,108.8,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,14,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,108.8,POST_2018,6/5,8.5861,2.437925,0.5,0.5,0.875,0.0056930137204724415,5.551115123125783e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,14,98765,20000,4,2002|2006|2010|2014,2.698105654013528,2.6065115386481397,0.7181214671762443,0.7140758567113247,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.2593654402137946,2.24315348947988,2.612932511333136,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,109.41,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,14,98765,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,109.41,POST_2018,6/5,8.5998,2.446,0.5,0.5,0.875,0.00569105,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,14,54321,20000,4,2002|2006|2010|2014,2.6889768814748694,2.5981078954051524,0.7158814518641533,0.7117853681298961,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.2919972715585502,2.2360907691983827,2.6023983751023954,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,108.05,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,14,54321,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,108.05,POST_2018,6/5,8.5742,2.4389,0.5,0.5,0.875,0.005724339429133858,4.163336342344337e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,14,13579,20000,4,2002|2006|2010|2014,2.6939117409583178,2.602029947544187,0.7160185271251978,0.7122531066041593,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.2525935644205508,2.2397637338216287,2.6081502440253264,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,103.5,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,14,13579,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,103.5,POST_2018,6/5,8.5893,2.438125,0.5,0.5,0.875,0.005724948976377953,4.163336342344337e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,7,12345,20000,4,2002|2006|2010|2014,2.0247021787337527,1.955000069308171,0.5089345690315624,0.5061421779165196,0.4444444444444444,0.7777777777777778,0.7777777777777778,1.383984712741076,2.1937064691443697,2.511939337219044,0.5,0.875,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,112.96,POST_2018,6/5,,,,,,,,,
