tier,case,metric,five_seed_mean,five_seed_sd,relative_sd_pct,n_seeds
tier3,2018_h56,coalition_brier_mean_over_masks,0.0301926008976378,0.00012566185852437816,0.4162008399024996,5
tier3,2018_h28,seat_energy_score,13.969979999999998,0.021403667909963314,0.15321187224293317,5
tier3,2018_h28,seat_crps_8party_mean,3.9709725,0.006315966869767565,0.1590534024037579,5
tier3,2018_h28,seat_coverage_50,0.275,0.05590169943749474,20.32789070454354,5
tier3,2018_h28,seat_coverage_80,0.625,0.0,0.0,5
tier3,2018_h28,seat_coverage_90,0.625,0.0,0.0,5
tier3,2018_h28,coalition_brier_mean_over_masks,0.018532333417322834,5.0221367601057124e-05,0.2709932228723741,5
tier3,2018_h14,seat_energy_score,8.58638,0.009382270514113571,0.10926922072064794,5
tier3,2018_h14,seat_crps_8party_mean,2.4400725000000003,0.0033671250719271915,0.13799282898058116,5
tier3,2018_h14,seat_coverage_50,0.5,0.0,0.0,5
tier3,2018_h14,seat_coverage_80,0.5,0.0,0.0,5
tier3,2018_h14,seat_coverage_90,0.875,0.0,0.0,5
tier3,2018_h14,coalition_brier_mean_over_masks,0.005702269448818897,2.1226355503132106e-05,0.3722439932670788,5
tier3,2018_h7,seat_energy_score,6.412520000000001,0.0033573799308388034,0.052356638744811765,5
tier3,2018_h7,seat_crps_8party_mean,1.7039475,0.0012645218958167598,0.07421131788489727,5
tier3,2018_h7,seat_coverage_50,0.5,0.0,0.0,5
tier3,2018_h7,seat_coverage_80,1.0,0.0,0.0,5
tier3,2018_h7,seat_coverage_90,1.0,0.0,0.0,5
tier3,2018_h7,coalition_brier_mean_over_masks,0.004221630677165355,2.721531448200653e-05,0.6446635568860433,5
tier3,2022_h112,seat_energy_score,18.890859999999996,0.05899451669435004,0.312291323393165,5
tier3,2022_h112,seat_crps_8party_mean,5.85145,0.019255354368980127,0.3290697924271783,5
tier3,2022_h112,seat_coverage_50,0.4,0.05590169943749474,13.975424859373685,5
tier3,2022_h112,seat_coverage_80,0.75,0.0,0.0,5
tier3,2022_h112,seat_coverage_90,0.75,0.0,0.0,5
tier3,2022_h112,coalition_brier_mean_over_masks,0.028381966866141733,0.0001349606683860417,0.47551555895529934,5
tier3,2022_h84,seat_energy_score,15.059180000000001,0.07717458778639484,0.5124753657662292,5
tier3,2022_h84,seat_crps_8party_mean,4.485645,0.0252021926749441,0.5618409988963482,5
tier3,2022_h84,seat_coverage_50,0.25,0.0,0.0,5
tier3,2022_h84,seat_coverage_80,0.75,0.0,0.0,5
tier3,2022_h84,seat_coverage_90,0.75,0.0,0.0,5
